Date,Time(UTC),Lat,Lang,Depth(KM),Magnitude,Region,MainRegion
1/1/2012,2:35:19,23.5,91.8,12,4.2,SOUTHERN TRIPURA,TRIPURA
1/1/2012,5:27:55,31.5,138.1,360,6.7,IZU ISLANDS,JAPAN
1/1/2012,18:09:07,4.7,96.5,44,5.1,NORTHERN SUMATRA,INDONESIA
1/3/2012,17:32:28,7.8,92.2,26,4.4,ANDAMAN SEA,ANDAMAN & NICOBAR ISLANDS
1/4/2012,16:31:24,33.7,75,10,4,JAMMU & KASHMIR,JAMMU & KASHMIR
1/9/2012,4:07:17,-10.6,165.1,35,6.6,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
1/10/2012,18:36:57,2.5,93.2,10,7.3,OFF WEST COAST OF NORTHERN SUMATRA,INDONESIA
1/11/2012,22:23:19,25.3,94.7,10,4,MANIPUR (INDIA) MYANMAR BORDER REGION,MANIPUR
1/13/2012,4:34:14,2.3,93,31,5,OFF THE WEST  COAST OF NORTHERN SUMATRA,INDONESIA
1/13/2012,22:49:58,36,70.4,87,5,HINDU KUSH REGION,AFGHANISTAN
1/15/2012,13:40:20,-60.7,-55.4,36,6.5,SOUTH SHETLAND ISLANDS,ANTARTICA
1/16/2012,5:01:00,29.7,78.9,10,3.6,PAURI (GARHWAL) UTTARAKHAND,UTTARAKHAND
1/18/2012,14:12:52,27.3,88.5,5,3.4,SIKKIM,SIKKIM
1/19/2012,6:48:51,-45.7,165.5,36,6.1,OFF WEST COAST OF SOUTH ISLAND,NEW ZEALAND
1/20/2012,21:28:42,9.7,92.5,10,4.3,NICOBAR  ISLANDS  REGION,ANDAMAN & NICOBAR ISLANDS
1/21/2012,18:47:14,15,-93,56,6.3,OFFSHORE CHIAPAS,MEXICO
1/24/2012,0:52:06,-24.8,178.5,582,6.2,SOUTH OF THE FIJI ISLANDS,FIJI ISLANDS
1/27/2012,9:54:34,3.3,93.2,10,5.1,OFF WEST  COAST OF NORTHERN SUMATRA,INDONESIA
1/28/2012,14:47:23,2.2,96.9,66,5.2,NORTHERN  SUMATRA,INDONESIA
1/28/2012,17:42:51,-29.3,-177.4,10,6,KERMADEC ISLANDS,NEW ZEALAND
1/28/2012,23:24:52,28.8,76.7,10,3.5,ROHTAK-SONIPAT DISTT BORDER REGION,HARYANA
1/29/2012,21:37:05,28.8,76.8,10,3.2,ROHTAK-SONIPAT DISTT  BORDER REGION,HARYANA
1/30/2012,5:11:01,-14.1,-75.5,45,6.4,NEAR THE COAST OF CENTRAL PERU,PERU
1/30/2012,13:20:36,-2.7,97.1,15,5.1,NORTHERN SUMATRA,INDONESIA
1/30/2012,22:58:02,7.9,94,10,4.3,OFF EAST COAST OF NICOBAR ISLAN,ANDAMAN & NICOBAR ISLANDS
3/1/2012,17:52:40,13.1,92.5,10,5,ANDAMAN ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
3/2/2012,12:41:35,7.5,94,5,4.8,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
3/3/2012,12:19:57,-22.1,170,26,6.6,SOUTH EAST OF LOYALTY ISLANDS,LOYALTY ISLANDS
3/5/2012,6:55:32,4.2,97.2,10,5.1,NORTHERN SUMATRA ,INDONESIA
3/5/2012,7:41:04,28.7,76.6,16,5,HARYANA - DELHI BORDER REGION,HARYANA
3/5/2012,7:46:08,-28.3,-63.3,540,6,SANTIAGO DEL ESTERO,ARGENTINA
3/6/2012,2:52:42,8.9,93.9,10,5.4,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
3/6/2012,2:59:33,8.7,93.8,47,4.9,NICOBAR ISLANDS REGIONS,ANDAMAN & NICOBAR ISLANDS
3/7/2012,13:18:19,32.1,78.1,20,3.8,SPITI,HIMACHAL PRADESH
3/8/2012,22:50:03,39.3,81.5,10,5.9,SOUTHERN XINJIANG,CHINA
3/9/2012,7:09:52,-18.9,169.7,40,6.9,VANUATU,VANUATU
3/10/2012,18:06:33,8.8,94,18,4.5,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
3/10/2012,20:58:04,9.2,94.3,10,4.6,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
3/12/2012,6:06:44,36.8,73.4,33,5.8,INDIA (J&K) -PAKISTAN BORDER,JAMMU & KASHMIR
3/12/2012,22:07:20,28.9,77.3,5,3.5,BAGHPAT,UTTAR PRADESH
3/14/2012,08:36.0,41.1,145,14,6.9,OFF THE EAST COAST OF HONSHU,JAPAN
3/14/2012,49:23.0,40.9,144.8,15,6,OFF THE EAST COAST OF HONSHU,JAPAN
3/14/2012,05:05.0,35.7,140.8,14,6,NEAR THE EAST COAST OF HONSHU ,JAPAN
3/14/2012,21:13:13,-5.6,151,70,6.4,NEW BRITAIN REGION,PAPUA NEW GUINEA
3/15/2012,14:56:00,10.8,93.9,20,4.8,ANDAMAN SEA,ANDAMAN & NICOBAR ISLANDS
3/20/2012,10:18:48,9.5,93.3,10,4.8,ANDAMAN SEA,ANDAMAN & NICOBAR ISLANDS
3/20/2012,17:56:19,-3.8,140.3,64,6.2,PAPAUA,INDONESIA
3/20/2012,18:02:52,16.8,-98.2,55,7.6,GUERRERO,MEXICO
3/21/2012,22:15:09,-6.2,146,110,6.5,NEW GUINEA ,PAPUA NEW GUINEA
3/25/2012,22:37:07,-35.2,-71.8,36,7,MAULE,CHILE
3/27/2012,4:49:27,11.2,78.6,10,3.6,TIRUCHCHIRAPPALLI,TAMIL NADU
3/27/2012,11:00:47,40,142.1,36,6,NEAR EAST COAST OF HONSHU,JAPAN
3/27/2012,23:40:08,26.1,87.8,12,4.9,INDIA - NEPAL BORDER REGION,NEPAL
