State / MCD,Final Dispensary Name,Disease,Occurrence,Reported Date,Month,District / Zone,IPD/OPD,State District,Final Zone
State Hospital,Aacharyashree Bhiksha Hospital,Tuberculosis,52,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Tuberculosis,53,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Tuberculosis,45,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diarrhoea,541,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diarrhoea,406,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diarrhoea,418,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Hypertension,190,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Hypertension,299,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Hypertension,341,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diabetes,759,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diabetes,350,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Diabetes,448,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Typhoid,53,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Typhoid,40,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Typhoid,39,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
