Date,Time,Lat,Lang,Depth(KM),Magnitude,Region
2012

01/01/2012,02:35:19,23.5°N,91.8°E,12,4.2,SOUTHERN TRIPURA
01/01/2012,05:27:55,31.5°N,138.1°E,360,6.7,"IZU ISLANDS, JAPAN REGION"
01/01/2012,18:09:07,04.7°N,96.5°E,44,5.1,"NORTHERN SUMATRA,INDONESIA"
03/01/2012,17:32:28,07.8°N,92.2°E,26,4.4,ANDAMAN SEA
04/01/2012,16:31:24,33.7°N,75.0°E,10,4.0,JAMMU & KASHMIR
09/01/2012,04:07:17,10.6°S,165.1°E,35,6.6,SANTA CRUZ ISLANDS
10/01/2012,18:36:57,02.5°N,93.2°E,10,7.3,OFF WEST COAST OF NORTHERN SUMATRA
11/01/2012,22:23:19,25.3°N,94.7°E,10,4.0,MANIPUR (INDIA) MYANMAR BORDER REGION
13/01/2012,04:34:14,02.3°N,93.0°E,31,5.0,OFF THE WEST  COAST OF NORTHERN SUMATRA
13/01/2012,22:49:58,36.0°N,70.4°E,87,5.0,"HINDU KUSH REGION, AFGHANISTAN"
15/01/2012,13:40:20,60.7°S,55.4°W,36,6.5,SOUTH SHETLAND ISLANDS
16/01/2012,05:01:00,29.7°N,78.9°E,10,3.6,PAURI (GARHWAL) UTTARAKHAND
18/01/2012,14:12:52,27.3°N,88.5°E,5,3.4,"SIKKIM, INDIA"
19/01/2012,06:48:51,45.7°S,165.5°E,36,6.1,"OFF WEST COAST OF SOUTH ISLAND,N.Z."
20/01/2012,21:28:42,09.7°N,92.5°E,10,4.3,NICOBAR  ISLANDS  REGION
21/01/2012,18:47:14,15.0°N,93.0°W,56,6.3,"OFFSHORE CHIAPAS,MEXICO"
24/01/2012,00:52:06,24.8°S,178.5°E,582,6.2,SOUTH OF THE FIJI ISLANDS
27/01/2012,09:54:34,03.3°N,93.2°E,10,5.1,OFF WEST  COAST OF NORTHERN SUMATRA
28/01/2012,14:47:23,02.2°N,96.9°E,66,5.2,"NORTHERN  SUMATRA, INDONESIA"
28/01/2012,17:42:51,29.3°S,177.4°W,10,6.0,"KERMADEC ISLANDS, NEW ZELAND"
28/01/2012,23:24:52,28.8°N,76.7°E,10,3.5,"ROHTAK-SONIPAT DISTT BORDER REGION,HARYANA"
29/01/2012,21:37:05,28.8°N,76.8°E,10,3.2,"ROHTAK-SONIPAT DISTT  BORDER REGION,HARYANA"
30/01/2012,05:11:01,14.1°S,75.5°W,45,6.4,NEAR THE COAST OF CENTRAL PERU
30/01/2012,13:20:36,02.7°S,97.1°E,15,5.1,"NORTHERN SUMATRA, INDONESIA"
30/01/2012,22:58:02,07.9°N,94.0°E,10,4.3,OFF EAST COAST OF NICOBAR ISLAN
01/03/2012,17:52:40,13.1°N,92.5°E,10,5,ANDAMAN ISLANDS REGION
02/03/2012,12:41:35,07.5°N,94.0°E,5,4.8,"NICOBAR ISLANDS REGION,INDIA"
03/03/2012,12:19:57,22.1°S,170.0°E,26,6.6,SOUTH EAST OF LOYALTY ISLANDS
05/03/2012,06:55:32,04.2°N,97.2°E,10,5.1,"NORTHERN SUMATRA ,INONESIA"
05/03/2012,07:41:04,28.7°N,76.6°E,16,5.0,HARYANA - DELHI BORDER REGION
05/03/2012,07:46:08,28.3°S,63.3°W,540,6.0,"SANTIAGO DEL ESTERO, ARGENTINA"
06/03/2012,02:52:42,08.9°N,93.9°E,10,5.4,NICOBAR ISLANDS REGION
06/03/2012,02:59:33,08.7°N,93.8°E,47,4.9,NICOBAR ISLANDS REGIONS
07/03/2012,13:18:19,32.1°N,78.1°E,20,3.8,"SPITI, HIMACHAL PRADESH"
08/03/2012,22:50:03,39.3°N,81.5°E,10,5.9,"SOUTHERN XINJIANG, CHINA"
09/03/2012,07:09:52,18.9°S,169.7°E,40,6.9,VANUATU
10/03/2012,18:06:33,08.8°N,94.0°E,18,4.5,NICOBAR ISLANDS REGION
10/03/2012,20:58:04,09.2°N,94.3°E,10,4.6,NICOBAR ISLANDS REGION
12/03/2012,06:06:44,36.8°N,73.4°E,33,5.8,INDIA (J&K) -PAKISTAN BORDER
12/03/2012,22:07:20,28.9°N,77.3°E,5,3.5,"BAGHPAT, UTTAR PRADESH"
14/03/2012,09:08:36.0,41.1°N,145.0°E,14,6.9,"OFF THE EAST COAST OF HONSHU, JAPAN"
14/03/2012,10:49:23.0,40.9°N,144.8°E,15,6.0,"OFF THE EAST COAST OF HONSHU, JAPAN"
14/03/2012,12:05:05.0,35.7°N,140.8°E,14,6.0,"NEAR THE EAST COAST OF HONSHU ,JAPAN"
14/03/2012,21:13:13,05.6°S,151.0°E,70,6.4,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
15/03/2012,14:56:00,10.8°N,93.9°E,20,4.8,ANDAMAN SEA
20/03/2012,10:18:48,09.5°N,93.3°E,10,4.8,ANDAMAN SEA
20/03/2012,17:56:19,03.8°S,140.3°E,64,6.2,"PAPAUA, INDONESIA"
20/03/2012,18:02:52,16.8°N,98.2°W,55,7.6,"GUERRERO, MEXICO"
21/03/2012,22:15:09,06.2°S,146.0°E,110,6.5,"NEW GUINEA ,PAPUA NEW GUINEA"
25/03/2012,22:37:07,35.2°S,71.8°W,36,7.0,"MAULE,CHILE"
27/03/2012,04:49:27,11.2°N,78.6°E,10,3.6,"TIRUCHCHIRAPPALLI, TAMIL NADU"
27/03/2012,11:00:47,40.0°N,142.1°E,36,6.0,"NEAR EAST COAST OF HONSHU, JAPAN"
27/03/2012,23:40:08,26.1°N,87.8°E,12.0,4.9,INDIA - NEPAL BORDER REGION
30/03/2012,22:02:12,04.7°N,95.1°E,64,5.1,"NORTHERN SUMATRA, INDONESIA"
31/03/2012,04:16:54,36.5°N,71.3°E,218,5.2,"HINDUKUSH REGION, AFGHANISTAN"
01/04/2012,14:04:25,37.2°N,141.0°E,50,6.0,"EASTERN HONSHU, JAPAN"
02/04/2012,17:36:46,16.5°N,98.3°W,33,6.0,"OAXACA, MEXICO"
11/04/2012,08:38:35,2.3°N,93.0°E,10,8.5,OFF WEST COAST OF NORTHERN SUMATRA
11/04/2012,09:28:01,2.4°N,91.9°E,5,6.1,OFF WEST COAST OF NORTHERN SUMATRA
11/04/2012,10:43:11,00.8°N,92.4°E,18,8.1,OFF WEST COAST OF NORTHERN SUMATRA
11/04/2012,22:55:12,18.3°N,102.7°W,30,6.9,"MICHOACAN, MEXICO"
12/04/2012,07:15:48,29.2°N,112.6°W,100,6.5,GULF OF CALIFORNIA
14/04/2012,03:23:04,23.5°N,71.0°E,07,4.0,"RANN OF KACHCHH, GUJARAT"
14/04/2012,05:27:40,17.4°N,73.8°E,10,4.9,"SATARA DIST., MAHARASHTRA"
14/04/2012,06:17:31,17.0°N,73.5°E,10,4.0,"NEAR RATNAGIRI, MAHARASHTRA"
14/04/2012,10:56:19,57.5°S,65.6°W,20,6.1,"DRAKE PASSAGE,SOUTH ATLANTIC OCEAN"
15/04/2012,05:57:38,02.5°N,90.2°E,16,6.3,OFF WEST COAST OF NORTHERN SUMATARA
17/04/2012,09:20:13,32.3°S,71.6°W,10,6.4,"VALPARAISO, CHILE"
17/04/2012,07:13:51,05.5°S,147.1°E,206,6.9,"EASTERN NEW GUINEA REG., P.N.G."
17/04/2012,19:03:56,59.1°S,16.5°W,10,6.2,EAST OF SOUTH SANDWICH ISLANDS
20/04/2012,23:14:34,02.2°N,93.4°E,33,6.1,OFF WEST COAST OF NORTHERN SUMATRA
21/04/2012,01:16:52,01.7°S,134.2°E,15,6.7,"NEAR THE NORTH COAST OF PAPUA,INDONESIA"
24/04/2012,14:57:10,09.0°N,94.1°E,10,5.5,NICOBAR ISLANDS REGION
24/04/2012,19:14:41,09.1°N,93.9°E,10,5.0,NICOBAR ISLANDS REGION
25/04/2012,07:42:23,08.9°N,94.1°E,10,5.8,NICOBAR ISLANDS REGION
