Date,Time(UTC),Time(IST),Lat,Lang,Depth(KM),Magnitude,Region
2014

2014-12-30,21:17:24,02:47:24/31-12,20.4 °S,178.5 °W,605,6.1,"Fiji, Islands Region"
2014-12-29,17:26:57,22:56:57,26.4 °N,92.0 °E,10,4.0,"Darrang, Assam"
2014-12-29,09:29:37,14:59:37,08.6 °N,121.3 °E,10,6.0,"Mindanao, Philippines"
2014-12-27,15:25:50,20:55:50,24.8 °N,94.0 °E,10,3.6,"Imphal, Manipur"
2014-12-27,02:02:39,07:32:39,23.5 °N,94.4 °E,10,4.2,Mayanmar
2014-12-26,13:00:05,18:30:05,06.7 °N,94.5 °E,10,4.8,Nicobar Island
2014-12-26,07:08:09,12:38:09,28.1 °N,87.0 °E,12,5.0,Tibet-Nepal Border Region
2014-12-26,03:30:41,09:00:41,23.42 °N,93.81 °E,6,3.3,Mayanmar
2014-12-25,07:40:49,13:10:49,26.4 °N,89.9 °E,10,4.1,"Kokarajhar, Assam"
2014-12-22,23:24:43,04:54:43/23-12,22.3 °N,92.9 °E,10,4.1,"Saiha, Mizoram"
2014-12-21,11:34:17,17:04:17,02.1 °N,126.5 °E,60,6.5,Molucca Sea
2014-12-21,05:37:37,11:07:37,24.3 °N,94.5 °E,80,5.0,Mayanmar
2014-12-20,09:29:58,14:59:58,37.5 °N,141.6 °E,42,6.1,"East cost Honshu, Japan"
2014-12-19,14:41:46,20:11:46,06.8 °N,94.6 °E,35,5.1,Nicobar Island
2014-12-19,02:36:17,08:06:17,07.5 °N,94.3 °E,10,4.7,Nicobar Island
2014-12-18,15:32:06,21:02:06,27.6 °N,86.4 °E,10,5.2,Nepal
2014-12-18,12:14:29,17:44:29,36.5 °N,71.0 °E,165,5.0,Afganistan
2014-12-17,15:24:36,20:54:36,02.8 °N,96.0 °E,70,5.2,North Sumatra
2014-12-17,06:10:33,11:40:33,03.4 °S,100.1 °E,10,5.8,South Sumatra
2014-12-11,19:27:38,00:57:38/12-12,24.6 °N,94.2 °E,72,3.7,Manipur
2014-12-10,21:03:39,02:33:39/11-12,25.6 °N,122.5 °E,258,6.2,Taiwan
2014-12-10,14:44:50,20:14:50,24.5 °N,94.1 °E,32,3.6,Manipur
2014-12-08,08:55:00,14:25:00,08.9 °N,82.6 °W,81,6.5,Panama
2014-12-08,05:39:04,11:09:04,12.1 °N,93.6 °E,33,4.0,Andaman Island
2014-12-07,01:22:07,06:52:07,06.5 °S,154.5 °E,10,6.5,Solomon Sea
2014-12-06,22:05:16,03:35:16/07-12,06.2 °S,130.4 °E,165,6.1,Banda Sea
2014-12-04,23:53:49,05:23:49/05-12,27.0 °N,92.5 °E,10,4.8,Arunachal Pradesh
2014-12-03,06:28:11,11:58:11,24.0 °N,92.7 °E,46,3.6,"Kolasib, Mizoram"
2014-12-02,18:47:02,00:17:02/03-12,26.3 °N,91.3 °E,15,3.0,"Nalbari, Assam"
2014-12-02,05:11:32,10:41:32,06.2 °N,123.1 °E,627,6.3,"Celebes Sea, Philippines"
2014-12-02,04:53:54,10:23:54,06.0 °N,61.3 °E,85,5.9,"Carlsberg Ride, Arabian Sea"
2014-11-28,01:18:41,06:48:41,12.5 °N,92.8 °E,10,5.4,Andaman Island
2014-11-26,14:33:45,20:03:45,01.9 °N,126.4 °E,26,6.9,Molucca Sea
2014-11-25,21:32:26,03:02:26/26-11,27.1 °N,89.0 °E,10,4.5,Bhutan
2014-11-25,15:49:08,21:19:08,27.8 °N,84.7 °E,7,3.8,Nepal
2014-11-24,15:30:12,21:00:12,03.0 °N,96.4 °E,92,5.1,Northern Sumatra
2014-11-22,13:45:24,19:15:24,36.5 °N,66.5 °E,10,5.7,Afghanistan
